"","kill_num","species","dod","utm_e","utm_n","age","year","month","day","jday","season","long","lat"
"197","17-360","mule deer",2017-06-20,526790,4963181,"young",2017,6,20,171,"spring",-110.661141672335,44.8215318050314
"198","17-361","mule deer",2017-06-20,526710,4963093,"adult",2017,6,20,171,"spring",-110.662158176084,44.8207426221846
"199","17-362","mule deer",2017-06-21,540223,4978295,"young",2017,6,21,172,"summer",-110.490036628998,44.9569536914315
"200","17-363","elk",2017-06-23,536458,4979995,"yearling",2017,6,23,174,"summer",-110.537646270639,44.9724597326207
"201","17-364","coyote",2017-06-26,531459,4953823,"adult",2017,6,26,177,"summer",-110.602664449982,44.7371000402644
"202","17-365","mule deer",2017-06-27,527049,4957506,"young",2017,6,27,178,"summer",-110.658167460165,44.7704351803991
"203","17-366","mule deer",2017-07-02,524166,4964425,"young",2017,7,2,183,"summer",-110.69427213982,44.8328240371801
"204","17-367","grouse",2017-07-02,529681,4938708,"unk",2017,7,2,183,"summer",-110.62599662894,44.601106826013
"205","17-368","pronghorn",2017-07-02,527148,4985514,"young",2017,7,2,183,"summer",-110.655413863461,45.0225574447536
"206","17-369","elk",2017-07-04,526814,4983319,"young",2017,7,4,185,"summer",-110.65977021791,45.0028113203563
"207","17-370","porcupine",2017-07-05,525609,4955221,"unk",2017,7,5,186,"summer",-110.676480016193,44.7499182564334
"208","17-371","mule deer",2017-07-06,526257,4955599,"young",2017,7,6,187,"summer",-110.668274465117,44.7532975937544
"209","17-372","elk",2017-07-08,526185,4984766,"young",2017,7,8,189,"summer",-110.667675843122,45.0158603652299
"210","17-373","mule deer",2017-07-09,525714,4985337,"adult",2017,7,9,190,"summer",-110.673624193117,45.0210176028923
"211","17-374","mule deer",2017-07-12,533197,4958093,"adult",2017,7,12,193,"summer",-110.580435556415,44.7754604060438
"212","17-375","mule deer",2017-07-12,533309,4958115,"young",2017,7,12,193,"summer",-110.579018629554,44.7756532419403
"213","17-376","pronghorn",2017-07-13,526476,4984254,"young",2017,7,13,194,"summer",-110.664009661264,45.0112406626452
"214","17-377","pronghorn",2017-07-15,528048,4984022,"young",2017,7,15,196,"summer",-110.644073702923,45.0090918280872
